trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-100,-549.2634387807265,"{0: 70, 1: 14, 2: 25, 3: 5, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-2,-76.34422297805452,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-100,-635.7608503518375,"{0: 79, 1: 5, 2: 27, 3: 5, 4: 9}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-69,-535.444450409443,"{0: 54, 1: 9, 2: 13, 3: 4, 4: 9}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,-40,-291.2297922752367,"{0: 40, 1: 2, 2: 12, 3: 1, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-96,-695.7371015501542,"{0: 77, 1: 9, 2: 13, 3: 2, 4: 15}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,-48,-109.66162284367485,"{0: 53, 1: 4, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,-66,-374.2573936793262,"{0: 65, 1: 2, 2: 8, 3: 3, 4: 8}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,-15,-146.69952818905662,"{0: 23, 1: 3, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,-27,-35.92822822109561,"{0: 42, 1: 1, 2: 8, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-51.283553299228,"{0: 25, 1: 3, 2: 6, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,6,6.0471489802757405,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,-66,-139.1477400078853,"{0: 80, 1: 4, 2: 6, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,-18,-101.03769707415626,"{0: 35, 1: 1, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-16,-13.486796963468652,"{0: 31, 1: 3, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,-27,-178.18955727577105,"{0: 48, 1: 2, 2: 7, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,-21,18.77949711326454,"{0: 37, 1: 1, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,-7,-52.64887355706409,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,23,12.986400188462174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,13,11.344257520696878,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,17,12.093163657738177,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,22.431043460745727,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,11,3.1855936542285255,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,-2,40.874399245404966,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,11,28.43799107558925,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,-8,54.16290134699592,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,3,33.56964971582864,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,13.78866616929243,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,-2,36.919039578034024,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,7,-12.517668678756499,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
