trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.92748047463247,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9950124791926823}",30,0,-125.37528554185856,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-105.92071777547449,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9851119396030626}",30,0,-154.3421281548117,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-138.0813388930734,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,0,-72.67767449261399,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,15,-4.35011716524782,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9656054162575665}",25,0,-56.955056845432225,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-95.95976439979584,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-258.65255947309527,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-105.48198938875409,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9464851479534838}",35,13,-52.016582723732576,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-193.55750441700957,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9370674633774034}",25,0,-110.7054938316782,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-52.11657330182406,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9277434863285529}",30,0,-139.6564350900732,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,0,-113.54645790344996,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9185122844014574}",25,0,-99.62732790991468,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-68.42031459614151,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9093729344682314}",20,0,-58.85238447999068,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-229.8945098447843,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.9003245225862656}",20,0,-71.73583279063875,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-108.9387918913246,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8913661439068313}",25,0,-124.10526594060329,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-143.7601563798521,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8824969025845955}",20,0,-94.6251340894037,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-65.86748556394849,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8737159116880344}",25,0,-149.5390931472597,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-294.44323113501724,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 5}",0
30,False,"{'a': 0.5, 'e': 0.8650222931107413}",20,11,-59.53711120139302,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-147.80242086613745,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8564151774836135}",30,0,-89.42274618406108,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8521437889662113}",30,20,-40.18637480883204,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.8478937040879159}",25,8,-145.36110403322135,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 3}",1
35,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,7,-94.29399996562464,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.8394570207692074}",25,0,-100.06067251738739,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-117.82859924062366,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8311042838521256}",20,0,-124.59378330560173,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-69.33912141421993,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.8228346580560184}",30,11,-160.2704516718936,"{0: 8, 1: 1, 2: 5, 3: 4, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,5,-191.2730468616769,"{0: 14, 1: 2, 2: 2, 3: 5, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.8146473164114145}",25,8,-80.70442909519072,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,2,-72.38687100948395,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.8065414401773269}",20,0,-63.17479108097661,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.8025187979624785}",35,17,-29.711897727922313,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7985162187593771}",25,0,-186.2345584287063,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-217.63268248919474,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 5}",0
48,False,"{'a': 0.5, 'e': 0.7905708496287356}",20,0,-41.199251006742905,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-103.29416365421461,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.7827045382418681}",20,0,-21.50542368508467,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-120.63745744065645,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.774916497961081}",25,0,-102.72247086293319,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7710515858035663}",30,0,-29.81385721763911,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7672059499758557}",20,0,-37.33283362007246,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-145.53304640813957,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.7595721232249685}",25,0,-103.11106093895614,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-118.52424835587595,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.7520142543193826}",25,0,-31.770092775123807,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-106.72078531508366,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.7445315874659094}",20,0,-180.1317114276949,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.7408182206817179}",35,0,-227.09394765490435,"{0: 19, 1: 2, 2: 10, 3: 1, 4: 3}",0
62,False,"{'a': 0.5, 'e': 0.7371233743916278}",25,14,-41.918228192815015,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,0,-58.38742447453705,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.7297888742690568}",20,0,-40.49332585321893,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-70.33748385877625,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.7225273536420722}",30,6,-76.53784576204836,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-17.984836817096223,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.7153380863525599}",20,10,-87.51967983050783,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-6.369811309100802,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.7082203534678}",25,0,-176.98703999859381,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,4,-62.9187045028627,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.7011734432085724}",20,0,-98.13941351811397,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-39.879116805141365,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.6941966508779789}",25,0,-23.634226219101855,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,0,-73.32427102118822,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.6872892787909722}",25,0,-111.89042321056918,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-49.64522052046939,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.6804506362045877}",20,4,-39.52623281185504,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,0,-49.01979924860916,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.6736800392488677}",25,0,-92.6019061231533,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.6703200460356393}",30,0,-49.699161481295945,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.6669768108584744}",20,0,-139.33885504355356,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-87.51140018852003,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.6603402807049829}",30,18,0.9362846779939673,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,0,-0.8106742358749717,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.6537697851298473}",20,0,-44.66331268439044,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.6505090947233165}",20,0,-96.31162859748196,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.6472646670780347}",20,0,-28.8289884259508,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-13.060610005044996,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.6408242760323187}",20,0,-82.83054094822367,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,2,-31.155171484142556,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.6344479679482282}",20,0,-17.716982514232054,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-41.325239238192935,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
