trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9950124791926823}",30,0,-174.72222950651792,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",35,0,-275.32736537013466,"{0: 19, 1: 2, 2: 8, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9851119396030626}",30,0,-198.74881391508123,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-96.69623474421797,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,0,-149.14890184801655,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-93.91425795117195,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9656054162575665}",25,0,-171.04088572903,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-168.05947622486332,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9559974818331}",20,0,-47.659381612364484,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-68.56015370743515,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9464851479534838}",25,0,-135.1394535595665,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9417645335842487}",35,25,-3.320395526674481,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9370674633774034}",25,0,-159.58394751816232,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,12,-28.01973214054657,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,0,-51.295207584622865,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
